[2026-05-10 21:50:27.773117Z] SOLICITUD: Acceso Administrador | RESULTADO: ok
[2026-05-10 21:51:24.814756Z] SOLICITUD: Compra Billete #99 | RESULTADO: negado - fondos insuficientes
[2026-05-10 21:51:59.321551Z] SOLICITUD: Crear Sorteo: Loteria del Meta | RESULTADO: ok
[2026-05-10 21:58:34.993606Z] SOLICITUD: Inicio Servidor: Sorteo_Integracion | RESULTADO: ok - creado nuevo JSON
[2026-05-10 21:59:01.647336Z] SOLICITUD: Consulta Estado: Sorteo_Integracion | RESULTADO: ok
[2026-05-10 22:34:28.615583Z] SOLICITUD: Inicio Servidor: Lotto_Manizales | RESULTADO: ok - creado nuevo JSON
[2026-05-10 22:34:28.619901Z] SOLICITUD: Inicio Servidor: Lotto_Pereira | RESULTADO: ok - creado nuevo JSON
[2026-05-11 00:22:07.228724Z] SOLICITUD: Inicio Servidor: LoteriaWEB | RESULTADO: ok - creado nuevo JSON
[2026-05-11T01:29:01.015592Z] inicio_sorteo | cargado_json | %{nombre: "LoteriaWEB"}
[2026-05-11T01:29:01.018229Z] inicio_sorteo | creado | %{nombre: ""}
[2026-05-11T01:29:01.018876Z] inicio_sorteo | cargado_json | %{nombre: "Sorteo_Integracion"}
[2026-05-11T01:29:01.019542Z] inicio_sorteo | cargado_json | %{nombre: "Lotto_Manizales"}
[2026-05-11T01:29:01.020152Z] inicio_sorteo | cargado_json | %{nombre: "Loteria de Armenia"}
[2026-05-11T01:29:01.020828Z] inicio_sorteo | cargado_json | %{nombre: "Lotto_Pereira"}
[2026-05-11T01:29:34.899241Z] inicio_sorteo | cargado_json | %{nombre: "LoteriaWEB"}
[2026-05-11T01:29:34.905506Z] inicio_sorteo | cargado_json | %{nombre: ""}
[2026-05-11T01:29:34.906099Z] inicio_sorteo | cargado_json | %{nombre: "Sorteo_Integracion"}
[2026-05-11T01:29:34.907087Z] inicio_sorteo | cargado_json | %{nombre: "Lotto_Manizales"}
[2026-05-11T01:29:34.907808Z] inicio_sorteo | cargado_json | %{nombre: "Loteria de Armenia"}
[2026-05-11T01:29:34.908518Z] inicio_sorteo | cargado_json | %{nombre: "Lotto_Pereira"}
[2026-05-11T01:30:26.078513Z] inicio_sorteo | cargado_json | %{nombre: "LoteriaWEB"}
[2026-05-11T01:30:26.084587Z] inicio_sorteo | cargado_json | %{nombre: ""}
[2026-05-11T01:30:26.085104Z] inicio_sorteo | cargado_json | %{nombre: "Sorteo_Integracion"}
[2026-05-11T01:30:26.085640Z] inicio_sorteo | cargado_json | %{nombre: "Lotto_Manizales"}
[2026-05-11T01:30:26.086091Z] inicio_sorteo | cargado_json | %{nombre: "Loteria de Armenia"}
[2026-05-11T01:30:26.086610Z] inicio_sorteo | cargado_json | %{nombre: "Lotto_Pereira"}
[2026-05-11T01:35:07.017578Z] inicio_sorteo | cargado_json | %{nombre: "LoteriaWEB"}
[2026-05-11T01:35:07.034282Z] inicio_sorteo | cargado_json | %{nombre: ""}
[2026-05-11T01:35:07.034934Z] inicio_sorteo | cargado_json | %{nombre: "Sorteo_Integracion"}
[2026-05-11T01:35:07.035769Z] inicio_sorteo | cargado_json | %{nombre: "Lotto_Manizales"}
[2026-05-11T01:35:07.036976Z] inicio_sorteo | cargado_json | %{nombre: "Loteria de Armenia"}
[2026-05-11T01:35:07.038405Z] inicio_sorteo | cargado_json | %{nombre: "Lotto_Pereira"}
[2026-05-11T01:35:35.792225Z] inicio_sorteo | cargado_json | %{nombre: "LoteriaWEB"}
[2026-05-11T01:35:35.799265Z] inicio_sorteo | cargado_json | %{nombre: ""}
[2026-05-11T01:35:35.800426Z] inicio_sorteo | cargado_json | %{nombre: "Sorteo_Integracion"}
[2026-05-11T01:35:35.801236Z] inicio_sorteo | cargado_json | %{nombre: "Lotto_Manizales"}
[2026-05-11T01:35:35.801832Z] inicio_sorteo | cargado_json | %{nombre: "Loteria de Armenia"}
[2026-05-11T01:35:35.802448Z] inicio_sorteo | cargado_json | %{nombre: "Lotto_Pereira"}
[2026-05-11T01:38:31.510570Z] compra | ok | %{sorteo: "LoteriaWEB", jugador: "Andrés Montenegro", billete: 1, fraccion: 2}
[2026-05-11T01:42:27.792838Z] agregar_premio | ok | %{nombre: "LoteriaWEB", premio: "LoteriaWEB"}
[2026-05-11 02:30:48.369391Z - inicio_sorteo - OK]
[2026-05-11 02:30:48.370644Z - inicio_sorteo - OK]
[2026-05-11 02:30:48.371103Z - inicio_sorteo - OK]
[2026-05-11 02:30:48.371540Z - inicio_sorteo - OK]
[2026-05-11 02:30:48.371938Z - inicio_sorteo - OK]
[2026-05-11 02:30:48.372697Z - inicio_sorteo - OK]
[2026-05-11 02:58:04.278074Z - inicio_sorteo - OK]
[2026-05-11 02:58:04.281808Z - inicio_sorteo - OK]
[2026-05-11 02:58:04.282523Z - inicio_sorteo - OK]
[2026-05-11 02:58:04.283424Z - inicio_sorteo - OK]
[2026-05-11 02:58:04.284420Z - inicio_sorteo - OK]
[2026-05-11 02:58:04.285110Z - inicio_sorteo - OK]
[2026-05-11 02:59:09.813639Z - inicio_sorteo - OK]
[2026-05-11 02:59:09.816554Z - inicio_sorteo - OK]
[2026-05-11 02:59:09.817191Z - inicio_sorteo - OK]
[2026-05-11 02:59:09.817773Z - inicio_sorteo - OK]
[2026-05-11 02:59:09.818493Z - inicio_sorteo - OK]
[2026-05-11 02:59:09.819053Z - inicio_sorteo - OK]
[2026-05-11 02:59:10.408046Z - registrar_admin - OK]
[2026-05-11 02:59:10.626473Z - registrar_usuario - OK]
[2026-05-11 02:59:10.627363Z - recargar_creditos - OK]
[2026-05-11 03:06:09.778624Z - inicio_sorteo - OK]
[2026-05-11 03:06:09.781324Z - inicio_sorteo - OK]
[2026-05-11 03:06:09.781981Z - inicio_sorteo - OK]
[2026-05-11 03:06:09.782641Z - inicio_sorteo - OK]
[2026-05-11 03:06:09.783188Z - inicio_sorteo - OK]
[2026-05-11 03:06:09.783606Z - inicio_sorteo - OK]
[2026-05-11 03:07:22.067121Z - login_jugador - Negado]
[2026-05-11 03:08:10.378034Z - login_admin - Negado]
[2026-05-11 03:11:07.124464Z - login_admin - OK]
[2026-05-11 03:14:31.039348Z - inicio_sorteo - OK]
[2026-05-11 03:14:31.041674Z - inicio_sorteo - OK]
[2026-05-11 03:14:31.042631Z - inicio_sorteo - OK]
[2026-05-11 03:14:31.043143Z - inicio_sorteo - OK]
[2026-05-11 03:14:31.043601Z - inicio_sorteo - OK]
[2026-05-11 03:14:31.044052Z - inicio_sorteo - OK]
[2026-05-11 03:15:10.235977Z - login_jugador - OK]
[2026-05-11 03:16:36.485850Z - debitar_creditos - Negado]
[2026-05-11 03:16:36.486862Z - compra - Negado]
[2026-05-11 03:29:43.686226Z - inicio_sorteo - OK]
[2026-05-11 03:29:43.690061Z - inicio_sorteo - OK]
[2026-05-11 03:29:43.690924Z - inicio_sorteo - OK]
[2026-05-11 03:29:43.692076Z - inicio_sorteo - OK]
[2026-05-11 03:29:43.693085Z - inicio_sorteo - OK]
[2026-05-11 03:29:43.694027Z - inicio_sorteo - OK]
[2026-05-11 03:38:55.165437Z - inicio_sorteo - OK]
[2026-05-11 03:38:55.168035Z - inicio_sorteo - OK]
[2026-05-11 03:38:55.168819Z - inicio_sorteo - OK]
[2026-05-11 03:38:55.169508Z - inicio_sorteo - OK]
[2026-05-11 03:38:55.170107Z - inicio_sorteo - OK]
[2026-05-11 03:38:55.170676Z - inicio_sorteo - OK]
[2026-05-11 03:40:08.316771Z - login_jugador - Negado]
[2026-05-11 03:40:28.929076Z - login_jugador - Negado]
[2026-05-11 03:40:37.852429Z - login_jugador - OK]
[2026-05-11 03:41:47.401211Z - debitar_creditos - Negado]
[2026-05-11 03:41:47.402636Z - compra - Negado]
[2026-05-11 04:29:23.385505Z - inicio_sorteo - OK]
[2026-05-11 04:29:23.387654Z - inicio_sorteo - OK]
[2026-05-11 04:29:23.388099Z - inicio_sorteo - OK]
[2026-05-11 04:29:23.388568Z - inicio_sorteo - OK]
[2026-05-11 04:29:23.389012Z - inicio_sorteo - OK]
[2026-05-11 04:30:01.546315Z - login_admin - Negado]
[2026-05-11 04:30:14.124373Z - login_admin - Negado]
[2026-05-11 04:30:26.387724Z - login_admin - OK]
[2026-05-11 04:32:55.607187Z - login_jugador - OK]
[2026-05-11 04:33:58.658466Z - recargar_creditos - OK]
[2026-05-11 04:35:12.620200Z - debitar_creditos - Negado]
[2026-05-11 04:35:12.621962Z - compra_especifica - Negado]
[2026-05-11 04:35:39.653880Z - recargar_creditos - OK]
[2026-05-11 04:35:50.243574Z - debitar_creditos - OK]
[2026-05-11 04:35:50.250028Z - compra_especifica - OK]
[2026-05-11 04:36:07.426942Z - recargar_creditos - OK]
[2026-05-11 04:36:07.427542Z - devolucion - OK]
[2026-05-11 04:51:40.193036Z - inicio_sorteo - OK]
[2026-05-11 04:51:40.194082Z - crear_sorteo - OK]
[2026-05-11 04:53:37.715973Z - debitar_creditos - Negado]
[2026-05-11 04:53:37.717041Z - compra_completo - Negado]
[2026-05-11 04:53:48.086510Z - debitar_creditos - OK]
[2026-05-11 04:53:48.086947Z - compra - OK]
[2026-05-11 04:56:17.798012Z - login_admin - OK]
[2026-05-11 04:59:06.204546Z - agregar_premio - OK]
[2026-05-11 05:00:07.388067Z - registrar_usuario - OK]
[2026-05-11 05:00:21.320125Z - login_jugador - OK]
[2026-05-11 05:00:59.331174Z - debitar_creditos - Negado]
[2026-05-11 05:00:59.332096Z - compra_especifica - Negado]
[2026-05-11 05:01:28.810770Z - recargar_creditos - OK]
[2026-05-11 05:02:58.538095Z - debitar_creditos - OK]
[2026-05-11 05:02:58.539119Z - compra_completo - OK]
[2026-05-11 05:03:21.756050Z - debitar_creditos - OK]
[2026-05-11 05:03:21.757543Z - compra - OK]
[2026-05-11 05:04:36.633303Z - recargar_creditos - OK]
[2026-05-11 05:04:36.635421Z - recargar_creditos - OK]
[2026-05-11 05:04:36.637185Z - recargar_creditos - OK]
[2026-05-11 05:04:36.638128Z - recargar_creditos - OK]
[2026-05-11 05:04:36.638965Z - recargar_creditos - OK]
[2026-05-11 05:04:36.639761Z - recargar_creditos - OK]
[2026-05-11 05:04:36.640573Z - recargar_creditos - OK]
[2026-05-11 05:04:36.641421Z - recargar_creditos - OK]
[2026-05-11 05:04:36.641707Z - ejecutar_sorteo - OK]
[2026-05-11 05:32:38.333418Z - inicio_sorteo - OK]
[2026-05-11 05:33:45.631660Z - login_jugador - OK]
[2026-05-11 05:37:12.980891Z - inicio_sorteo - OK]
[2026-05-11 05:37:12.981674Z - crear_sorteo - OK]
[2026-05-11 05:39:08.242574Z - actualizar_sorteo - OK]
[2026-05-11 05:41:14.271118Z - debitar_creditos - Negado]
[2026-05-11 05:41:14.272744Z - compra_completo - Negado]
[2026-05-11 05:41:37.505707Z - recargar_creditos - OK]
[2026-05-11 05:42:03.303251Z - debitar_creditos - OK]
[2026-05-11 05:42:03.311013Z - compra_completo - OK]
[2026-05-11 05:42:51.295333Z - login_jugador - Negado]
[2026-05-11 05:43:05.587795Z - login_jugador - OK]
[2026-05-11 05:44:09.809950Z - debitar_creditos - OK]
[2026-05-11 05:44:09.810883Z - compra_especifica - OK]
[2026-05-11 05:44:27.447071Z - debitar_creditos - OK]
[2026-05-11 05:44:27.447951Z - compra_especifica - OK]
[2026-05-11 05:45:59.684113Z - agregar_premio - OK]
[2026-05-11 05:46:16.416582Z - recargar_creditos - OK]
[2026-05-11 05:46:16.417323Z - ejecutar_sorteo - OK]
[2026-05-11 05:49:30.460397Z - inicio_sorteo - OK]
[2026-05-11 05:49:30.462579Z - inicio_sorteo - OK]
[2026-05-11 05:51:30.049124Z - inicio_sorteo - OK]
[2026-05-11 05:51:30.050138Z - crear_sorteo - OK]
[2026-05-11 05:52:50.738699Z - agregar_premio - OK]
[2026-05-11 14:31:51.095034Z - inicio_sorteo - OK]
[2026-05-11 14:31:51.097308Z - inicio_sorteo - OK]
[2026-05-11 14:31:51.097794Z - inicio_sorteo - OK]
[2026-05-11 14:34:06.496412Z - login_jugador - OK]
[2026-05-11 14:34:41.766914Z - actualizar_sorteo - OK]
[2026-05-11 14:35:18.645675Z - actualizar_sorteo - OK]
[2026-05-11 15:21:56.685357Z - inicio_sorteo - OK]
[2026-05-11 15:21:56.688198Z - inicio_sorteo - OK]
[2026-05-11 15:21:56.688760Z - inicio_sorteo - OK]
[2026-05-11 15:22:53.164405Z - login_jugador - OK]
[2026-05-11 15:24:28.459239Z - login_admin - OK]
[2026-05-11 16:30:11.072680Z - inicio_sorteo - OK | sorteo_id="Loteria Armenia"]
[2026-05-11 16:30:11.077096Z - inicio_sorteo - OK | sorteo_id="Loteria-Nacional"]
[2026-05-11 16:30:11.077795Z - inicio_sorteo - OK | sorteo_id="Loteria Uniquindio"]
[2026-05-11 16:30:50.814626Z - admin_consulto_jugadores - OK | admin_id="admin"]
[2026-05-11 16:30:58.045611Z - admin_consulto_jugadores - OK | admin_id="admin"]
[2026-05-11 16:30:58.964191Z - balance_consultado - OK | admin_id="admin", filtro="todos"]
[2026-05-11 16:48:48.924418Z - inicio_sorteo - OK | sorteo_id="Loteria Armenia"]
[2026-05-11 16:48:48.928709Z - inicio_sorteo - OK | sorteo_id="Loteria-Nacional"]
[2026-05-11 16:48:48.929233Z - inicio_sorteo - OK | sorteo_id="Loteria Uniquindio"]
[2026-05-11 16:49:54.647452Z - login_jugador - OK | jugador_id="juandiaz"]
[2026-05-11 16:50:33.370789Z - login_jugador - OK | jugador_id="juandiaz"]
[2026-05-11 16:55:26.213324Z - login_jugador - OK | jugador_id="juandiaz"]
[2026-05-11 16:55:32.348095Z - login_jugador - OK | jugador_id="juandiaz"]
[2026-05-11 16:56:57.457233Z - login_admin - OK | admin_id="admin"]
[2026-05-11 16:57:04.833170Z - balance_consultado - OK | admin_id="admin", filtro="todos"]
[2026-05-11 16:58:26.121575Z - actualizar_sorteo - OK | sorteo_id="Loteria Uniquindio", cambios=[:fecha, :cantidad_billetes, :fracciones, :valor_billete, :descripcion_premio_completo, :descripcion_premio_fraccion]]
[2026-05-11 16:58:33.855889Z - balance_consultado - OK | admin_id="admin", filtro="todos"]
[2026-05-11 16:59:02.169740Z - admin_consulto_jugadores - OK | admin_id="admin"]
[2026-05-11 16:59:04.923598Z - admin_consulto_jugador - OK | admin_id="admin", jugador_id="juandiaz"]
[2026-05-11 16:59:17.632724Z - admin_consulto_jugadores - OK | admin_id="admin"]
[2026-05-11 16:59:57.744208Z - actualizar_sorteo - OK | sorteo_id="Loteria Uniquindio", cambios=[:fecha, :cantidad_billetes, :fracciones, :valor_billete, :descripcion_premio_completo, :descripcion_premio_fraccion]]
[2026-05-11 17:08:45.003692Z - inicio_sorteo - OK | sorteo_id="Loteria Armenia"]
[2026-05-11 17:08:45.007980Z - inicio_sorteo - OK | sorteo_id="Loteria-Nacional"]
[2026-05-11 17:08:45.008463Z - inicio_sorteo - OK | sorteo_id="Loteria Uniquindio"]
[2026-05-11 17:09:20.325923Z - login_admin - OK | admin_id="admin"]
[2026-05-11 17:09:28.954000Z - admin_consulto_jugadores - OK | admin_id="admin"]
[2026-05-11 17:09:28.986123Z - admin_consulto_jugador - OK | admin_id="admin", jugador_id="juandiaz"]
[2026-05-11 17:09:29.071644Z - balance_consultado - OK | admin_id="admin", filtro="todos"]
[2026-05-11 17:09:36.773410Z - login_jugador - OK | jugador_id="juandiaz"]
[2026-05-11 17:11:34.031187Z - inicio_sorteo - OK | sorteo_id="Loteria Armenia"]
[2026-05-11 17:11:34.036181Z - inicio_sorteo - OK | sorteo_id="Loteria-Nacional"]
[2026-05-11 17:11:34.036736Z - inicio_sorteo - OK | sorteo_id="Loteria Uniquindio"]
[2026-05-11 17:12:38.941466Z - inicio_sorteo - OK | sorteo_id="Loteria Armenia"]
[2026-05-11 17:12:38.945257Z - inicio_sorteo - OK | sorteo_id="Loteria-Nacional"]
[2026-05-11 17:12:38.945817Z - inicio_sorteo - OK | sorteo_id="Loteria Uniquindio"]
[2026-05-11 17:15:44.139294Z - agregar_premio - OK | valor=1, sorteo_id="Loteria Uniquindio", premio="1"]
[2026-05-11 17:17:33.077312Z - actualizar_sorteo - OK | sorteo_id="Loteria Uniquindio", cambios=[:fecha, :cantidad_billetes, :fracciones, :valor_billete, :descripcion_premio_completo, :descripcion_premio_fraccion]]
[2026-05-11 17:44:32.492321Z - inicio_sorteo - OK | sorteo_id="Loteria Armenia"]
[2026-05-11 17:44:32.497014Z - inicio_sorteo - OK | sorteo_id="Loteria-Nacional"]
[2026-05-11 17:44:32.497590Z - inicio_sorteo - OK | sorteo_id="Loteria Uniquindio"]
